# Table format: 1D
# Generated by the battery pre-calibrated tool of Simcenter Amesim 17.0
# Parameters:
#     model type:                   battery equivalent circuit model
#     battery database:             NMC HP
#     name of pre-calibrated cell:  Li-ion NMC-C High Power quasi-static battery cell with dynamic semi-empirical aging
#     reference capacity:           8.0 Ah
0.00000000000000e+00    2.92542300000000e+00
1.00000000000000e+00    3.04139800000000e+00
2.00000000000000e+00    3.14011600000000e+00
3.00000000000000e+00    3.22299700000000e+00
4.00000000000000e+00    3.29146400000000e+00
5.00000000000000e+00    3.34693900000000e+00
6.00000000000000e+00    3.39084300000000e+00
7.00000000000000e+00    3.42460000000000e+00
8.00000000000000e+00    3.44963000000000e+00
9.00000000000000e+00    3.46735600000000e+00
1.00000000000000e+01    3.47920000000000e+00
1.10000000000000e+01    3.48658400000000e+00
1.20000000000000e+01    3.49093000000000e+00
1.30000000000000e+01    3.49365900000000e+00
1.40000000000000e+01    3.49619500000000e+00
1.50000000000000e+01    3.49993000000000e+00
1.60000000000000e+01    3.50542500000000e+00
1.70000000000000e+01    3.51226100000000e+00
1.80000000000000e+01    3.51996400000000e+00
1.90000000000000e+01    3.52806200000000e+00
2.00000000000000e+01    3.53608000000000e+00
2.10000000000000e+01    3.54355100000000e+00
2.20000000000000e+01    3.55022500000000e+00
2.30000000000000e+01    3.55619500000000e+00
2.40000000000000e+01    3.56158500000000e+00
2.50000000000000e+01    3.56651600000000e+00
2.60000000000000e+01    3.57111000000000e+00
2.70000000000000e+01    3.57548900000000e+00
2.80000000000000e+01    3.57978200000000e+00
2.90000000000000e+01    3.58413000000000e+00
3.00000000000000e+01    3.58867400000000e+00
3.10000000000000e+01    3.59355700000000e+00
3.20000000000000e+01    3.59892200000000e+00
3.30000000000000e+01    3.60491100000000e+00
3.40000000000000e+01    3.61156000000000e+00
3.50000000000000e+01    3.61862100000000e+00
3.60000000000000e+01    3.62579600000000e+00
3.70000000000000e+01    3.63278800000000e+00
3.80000000000000e+01    3.63930100000000e+00
3.90000000000000e+01    3.64503600000000e+00
4.00000000000000e+01    3.64979400000000e+00
4.10000000000000e+01    3.65373500000000e+00
4.20000000000000e+01    3.65710200000000e+00
4.30000000000000e+01    3.66013600000000e+00
4.40000000000000e+01    3.66308100000000e+00
4.50000000000000e+01    3.66617900000000e+00
4.60000000000000e+01    3.66963400000000e+00
4.70000000000000e+01    3.67344700000000e+00
4.80000000000000e+01    3.67755600000000e+00
4.90000000000000e+01    3.68190000000000e+00
5.00000000000000e+01    3.68641700000000e+00
5.10000000000000e+01    3.69104600000000e+00
5.20000000000000e+01    3.69573600000000e+00
5.30000000000000e+01    3.70051300000000e+00
5.40000000000000e+01    3.70543700000000e+00
5.50000000000000e+01    3.71056600000000e+00
5.60000000000000e+01    3.71596200000000e+00
5.70000000000000e+01    3.72168100000000e+00
5.80000000000000e+01    3.72777800000000e+00
5.90000000000000e+01    3.73423800000000e+00
6.00000000000000e+01    3.74101300000000e+00
6.10000000000000e+01    3.74805200000000e+00
6.20000000000000e+01    3.75530500000000e+00
6.30000000000000e+01    3.76272100000000e+00
6.40000000000000e+01    3.77025900000000e+00
6.50000000000000e+01    3.77799800000000e+00
6.60000000000000e+01    3.78610500000000e+00
6.70000000000000e+01    3.79474900000000e+00
6.80000000000000e+01    3.80410100000000e+00
6.90000000000000e+01    3.81433100000000e+00
7.00000000000000e+01    3.82559700000000e+00
7.10000000000000e+01    3.83783100000000e+00
7.20000000000000e+01    3.85074400000000e+00
7.30000000000000e+01    3.86403900000000e+00
7.40000000000000e+01    3.87741800000000e+00
7.50000000000000e+01    3.89058400000000e+00
7.60000000000000e+01    3.90324200000000e+00
7.70000000000000e+01    3.91527900000000e+00
7.80000000000000e+01    3.92680100000000e+00
7.90000000000000e+01    3.93793200000000e+00
8.00000000000000e+01    3.94879400000000e+00
8.10000000000000e+01    3.95950900000000e+00
8.20000000000000e+01    3.97020100000000e+00
8.30000000000000e+01    3.98096100000000e+00
8.40000000000000e+01    3.99183400000000e+00
8.50000000000000e+01    4.00286100000000e+00
8.60000000000000e+01    4.01408000000000e+00
8.70000000000000e+01    4.02553200000000e+00
8.80000000000000e+01    4.03725600000000e+00
8.90000000000000e+01    4.04926900000000e+00
9.00000000000000e+01    4.06153700000000e+00
9.10000000000000e+01    4.07401700000000e+00
9.20000000000000e+01    4.08667100000000e+00
9.30000000000000e+01    4.09945400000000e+00
9.40000000000000e+01    4.11232800000000e+00
9.50000000000000e+01    4.12525000000000e+00
9.60000000000000e+01    4.13818000000000e+00
9.70000000000000e+01    4.15107600000000e+00
9.80000000000000e+01    4.16389700000000e+00
9.90000000000000e+01    4.17660100000000e+00
1.00000000000000e+02    4.18914800000000e+00
