# Table format: 1D
# Generated by the battery pre-calibrated tool of Simcenter Amesim 17.0
# Parameters:
#     model type:                   battery equivalent circuit model
#     battery database:             NMC HP
#     name of pre-calibrated cell:  Li-ion NMC-C High Power quasi-static battery cell with dynamic semi-empirical aging
#     reference capacity:           8.0 Ah
0.00000000000000e+00    -9.99999900000000e-04
5.00000000000000e+00    -5.85108800000000e-04
1.00000000000000e+01    -7.28506200000000e-04
1.50000000000000e+01    -2.72678900000000e-04
2.00000000000000e+01    -4.46877000000000e-04
2.50000000000000e+01    -4.73533200000000e-04
3.00000000000000e+01    -4.26041800000000e-04
3.50000000000000e+01    -2.59801300000000e-04
4.00000000000000e+01    9.83281100000000e-05
4.50000000000000e+01    1.80466900000000e-04
5.00000000000000e+01    2.13578300000000e-04
5.50000000000000e+01    2.05104500000000e-04
6.00000000000000e+01    1.80690800000000e-04
6.50000000000000e+01    2.38871100000000e-04
7.00000000000000e+01    2.71537400000000e-04
7.50000000000000e+01    1.35989200000000e-04
8.00000000000000e+01    -5.96871800000000e-05
8.50000000000000e+01    -8.56234800000000e-05
9.00000000000000e+01    -1.60668100000000e-04
9.50000000000000e+01    -1.53021000000000e-04
1.00000000000000e+02    -1.49098000000000e-04
